COD,CURSO,TIPO,SIST. EVAL.,HT,HP,HL,HS,CRED.,PRE-REQUISITO,CICLO
BAE01,ACTIVIDADES EXTRACURRICULARES,,,,,,,1,,1
BFI01,FISICA I,O,F,4,2,,6,5,NINGUNO,1
BIC01,INTRODUCCION A LA COMPUTACION,O,F,1,2,,3,2,NINGUNO,1
BMA01,CALCULO DIFERENCIAL,O,G,4,2,,6,5,NINGUNO,1
BMA03,ALGEBRA LINEAL,O,G,3,2,,5,4,NINGUNO,1
BRN01,"REALIDAD NACIONAL, CONSTITUCIÓN Y DERECHOS HUMANOS",O,D,2,2,,4,3,NINGUNO,1
EE250,DIBUJO TECNICO,O,D,2,,2,4,3,NINGUNO,1
BCR01,REDACCIÓN Y COMUNICACIÓN,O,D,1,2,,3,2,NINGUNO,2
BFI05,FUNDAMENTOS DE INGENIERÍA TÉRMICA Y DE FLUIDOS,O,F,3,2,,5,4,BFI01,2
BMA02,CÁLCULO INTEGRAL,O,G,4,2,,6,5,BMA01,2
BMA09,ALGORITMOS Y ESTRUCTURAS DE DATOS I,O,G,2,,2,4,3,BIC01,2
BQU01,QUÍMICA I,O,F,4,2,,6,5,NINGUNO,2
EE152,FUNDAMENTOS DE INGENIERIA DEL COMPUTADOR,O,D,1,,4,5,3,NINGUNO,2
BEG01,ECONOMIA GENERAL,O,F,2,2,,4,3,NINGUNO,3
BFI03,"FUNDAMENTOS DE ELECTRICIDAD, MAGNETISMO Y ÓPTICA",O,G,4,2,,6,5,"BMA02, BFI01",3
BMA05,ECUACIONES DIFERENCIALES,O,G,4,2,,6,5,BMA02,3
BMA10,PROBABILIDADES Y ESTADÍSTICA,O,G,2,2,,4,3,"BMA03, BMA01",3
BMA15,PROGRAMACIÓN ORIENTADA A OBJETOS,O,G,2,,2,4,3,BMA09,3
EE306,ELECTROTÉCNIA E INSTALACIÓN DE REDES,O,D,2,,2,4,3,"BFI05, EE250",3
BEF01,ÉTICA Y FILOSOFÍA POLÍTICA,O,D,2,,,2,2,NINGUNO,4
BFI06,INTRODUCCIÓN A LA FÍSICA MODERNA,O,F,3,2,,5,4,BFI03,4
BIE01,IDIOMA EXTRANJERO O LENGUA NATIVA EN EL NIVEL INTERMEDIO,O,D,,4,,4,2,,4
BMA07,CÁLCULO VECTORIAL,O,G,3,2,,5,4,BMA02,4
BMA18,MÉTODOS NUMÉRICOS,O,G,2,,2,4,3,"BMA09, BMA02",4
EE320,CIRCUITOS ELÉCTRICOS I,O,F,3,2,2,7,5,"BFI05, BMA03",4
EE410,ANÁLISIS DE SEÑALES Y SISTEMAS,O,G,3,2,,5,4,BMA05,4
BFM16,MECÁNICA DE FLUIDOS Y TERMODINÁMICA,O,G,3,2,,5,4,BFI05,5
EE418,DISPOSITIVOS Y CIRCUITOS ELECTRÓNICOS I,O,F,3,2,,5,4,"BFI06, EE320",5
EE420,CIRCUITOS ELÉCTRICOS II,O,F,3,2,2,7,5,EE320,5
EE428,LABORATORIO DE ELECTRÓNICA I,O,D,,,2,2,1,EE320,5
EE522,ELECTROMAGNETISMO I,O,F,3,2,,5,4,"BMA07, BFI03",5
EE647,SISTEMAS DE CONTROL I,O,G,3,2,,5,4,"EE410, BFI05",5
BFM17,FUNDAMENTOS DE TURBOMÁQUINAS,O,G,2,2,,4,3,BFM16,6
EE238,MEDIDAS ELÉCTRICAS I,O,D,2,,2,4,3,EE420,6
EE288,MÁQUINAS ELÉCTRICAS I,O,G,3,2,,5,4,"EE522, EE420",6
EE353,ANÁLISIS DE SISTEMAS DE POTENCIA I,O,G,3,2,,5,4,"EE420, BMA18",6
ELEC01,ELECTIVO,E,,,,,,3,,6
ELEC02,ELECTIVO,E,,,,,,3,,6
EE239,MEDIDAS ELÉCTRICAS II,O,D,2,,2,4,3,EE238,7
EE241,LABORATORIO DE MÁQUINAS ELÉCTRICAS I,O,D,,,2,2,1,EE288,7
EE298,MÁQUINAS ELÉCTRICAS II,O,G,3,2,,5,4,EE288,7
EE354,ANÁLISIS DE SISTEMAS DE POTENCIA II,O,F,3,2,,5,4,EE353,7
EE532,ELECTRÓNICA DE POTENCIA,O,F,3,2,2,7,5,EE418,7
ELEC03,ELECTIVO,E,,,,,,3,,7
BEG06,FORMULACION Y EVALUACIÓN DE PROYECTOS,O,F,2,2,,4,3,BEG01,8
EE242,LABORATORIO DE MÁQUINAS ELÉCTRICAS II,O,D,,,2,2,1,"EE241, EE298",8
EE393,LÍNEAS DE TRANSMISIÓN DE POTENCIA,O,F,2,2,,4,3,EE354,8
EE468,INSTALACIONES ELÉCTRICAS  INDUSTRIALES,O,F,3,2,,5,4,"EE298, EE306",8
ELEC04,ELECTIVO,E,,,,,,3,,8
ELEC05,ELECTIVO,E,,,,,,3,,8
ELEC06,ELECTIVO,E,,,,,,3,,8
EE445,PROYECTO DE FIN DE CARRERA,O,A,2,4,,6,4,EE354,9
EE498,LABORATORIO DE SISTEMAS ELÉCTRICOS DE POTENCIA,O,D,,,2,2,1,EE242,9
EE676,CENTRALES ELÉCTRICAS I,O,F,2,2,,4,3,"BFM17, EE354",9
ELEC07,ELECTIVO,E,,,,,,3,,9
ELEC08,ELECTIVO,E,,,,,,3,,9
ELEC09,ELECTIVO,E,,,,,,3,,9
EE446,PROYECTO DE TESIS,O,A,2,4,,6,4,EE445,10
ELEC10,ELECTIVO,E,,,,,,3,,10
ELEC11,ELECTIVO,E,,,,,,3,,10
ELEC12,ELECTIVO,E,,,,,,3,,10
ELEC13,ELECTIVO,E,,,,,,3,,10
AHD93,"LEGISLACIÓN INDUSTRIAL, LABORAL Y TRIBUTARIA",E,F,2,,,2,2,NINGUNO,11
BFM12,MECÁNICA DE SÓLIDOS,E,G,3,2,,5,4,"BMA07, BFI01",11
BMA20,ALGORITMOS Y ESTRUCTURAS DE DATOS II,E,D,2,,2,4,3,"BMA09, BMA18",11
BRN93,REGULACIÓN Y SUPERVISIÓN DEL SECTOR ELÉCTRICO,E,D,2,2,,4,3,"EE534, BEG01",11
CIB12,APRENDIZAJE DE MÁQUINA Y MINERÍA DE DATOS,E,D,2,,2,4,3,BMA15,11
CIB28,VISIÓN Y ANÁLISIS DE IMÁGENES POR COMPUTADOR,E,D,2,,2,4,3,CIB12,11
CIB50,SISTEMAS DE INFORMACIÓN GERENCIAL,E,D,2,2,,4,3,"BMA20, CIB12",11
EE225,MÁQUINAS ELÉCTRICAS III,E,G,2,2,,4,3,"EE298, EE647",11
EE235,DISEÑO DE MÁQUINAS ELÉCTRICAS I,E,D,3,,,3,3,EE288,11
EE316,CENTRALES ELÉCTRICAS II,E,G,3,2,,5,4,EE676,11
EE336,INGENIERÍA DE ALTA TENSIÓN,E,F,2,,2,4,3,"EE354, EE522",11
EE344,INGENIERÍA DE ILUMINACIÓN,E,G,2,,2,4,3,EE468,11
EE346,INSTALACIONES ELÉCTRICAS II,E,H,3,2,,5,4,EE468,11
EE347,ELECTRIFICACIÓN RURAL,E,H,2,2,,4,3,EE346,11
EE375,ESTABILIDAD DE SISTEMAS DE POTENCIA,E,D,2,,2,4,3,EE354,11
EE376,PROTECCIÓN DE SISTEMAS DE POTENCIA,E,I,2,2,,4,3,EE354,11
EE385,VALUACIÓN Y TARIFICACIÓN DE LA ENERGÍA ELÉCTRICA,E,D,3,,,3,3,EE288,11
EE387,PLANEAMIENTO DE PROYECTOS DE INGENIERÍA ELÉCTRICA,E,D,2,2,,4,3,"EE534, BEG06",11
EE438,DISPOSITIVOS Y CIRCUITOS ELECTRÓNICOS II,E,F,3,2,,5,4,EE418,11
EE449,INTRODUCCIÓN A LA INGENIERÍA BIOMÉDICA,E,D,2,2,,4,3,EE418,11
EE458,LABORATORIO DE ELECTRÓNICA II,E,D,,,2,2,1,EE428,11
EE467,PROTOCOLOS DE ENRUTAMIENTO Y ARQUITECTURA DE REDES,E,G,2,,2,4,3,EE306,11
EE469,ARQUITECTURA DE CENTROS DE DATOS,E,D,2,,2,4,3,"EE306, EE467",11
EE534,GENERACIÓN ELÉCTRICA CON ENERGÍAS RENOVABLES,E,D,2,,2,4,3,"EE532, EE298",11
EE565,PLANEAMIENTO Y CONFIABILIDAD DE REDES ELÉCTRICAS,E,D,2,2,,4,3,"EE672, EE449",11
EE585,TRANSITORIOS ELECTROMAGNÉTICOS EN SISTEMAS DE POTENCIA,E,F,2,,2,4,3,EE354,11
EE588,ELECTROMAGNETISMO II,E,F,3,2,,5,4,EE522,11
EE589,COORDINACIÓN DE AISLAMIENTO,E,F,2,,2,4,3,"EE585, EE376",11
EE604,INTRODUCCIÓN A MICROCONTROLADORES,E,D,2,,2,4,3,"EE152, EE418",11
EE610,ANÁLISIS DE SEÑALES Y DE SISTEMAS,E,G,2,,1,2,3,EE320,11
EE621,CONTROLES ELECTRICOS Y AUTOMATIZACION,E,D,3,,2,5,4,"EE298, EE647",11
EE625,CONTROL III,E,G,3,2,,5,4,EE648,11
EE641,LABORATORIO DE CONTROL,E,D,,,2,2,1,EE648,11
EE644,DISEÑO LÓGICO DIGITAL,E,G,2,2,2,6,4,"EE152, EE418",11
EE648,SISTEMAS DE CONTROL II,E,G,2,2,2,6,4,EE647,11
EE658,REDES DE AUTOMATIZACIÓN Y SUPERVISIÓN INDUSTRIALES,E,D,2,,2,4,3,"EE604, EE648",11
EE672,ROBÓTICA INDUSTRIAL,E,D,2,2,2,6,4,EE658,11
EE677,ROBÓTICA MÉDICA,E,D,2,2,,4,3,"EE672, EE449",11
EE678,INSTRUMENTACIÓN Y CONTROL DE PROCESOS INDUSTRIALES,E,F,2,2,2,6,4,EE418,11
EE679,SUBESTACIONES ELÉCTRICAS,E,D,2,2,,4,3,"EE336, EE468",11
EE689,ARQUITECTURA DE MICROCONTROLADORES AVANZADOS,E,D,2,,2,4,3,EE604,11
EE718,SISTEMAS DE CONTROL AVANZADO,E,G,3,2,,5,4,"EE648, CIB12",11
EE734,EQUIPOS CLÍNICOS DE RADIOLOGÍA Y RESONANCIA MAGNÉTICA,E,D,2,2,,4,3,"EE532, EE588",11
EE735,CONTROL PREDICTIVO BASADO EN MODELOS,E,F,2,,2,4,3,"EE646, CIB12",11
EE742,MODELADO Y CONTROL DE ROBOTS MÓVILES,E,F,2,2,,4,3,EE672,11
EE744,ACCIONAMIENTOS ELÉCTRICOS,E,D,2,,2,4,3,EE532,11
EE779,CENTRALES ELÉCTRICAS II,E,G,3,2,,5,4,EE676,11
IP101,INGLES PROFESIONAL I,E,D,,,,2,1,NINGUNO,11
